element	familyname
TF	G2-like
TF	Orphans
TF	NLP
TF	TCP
TF	MADS
TF	AP2-EREBP
TF	MADS
TF	bZIP
TF	GeBP
TF	Orphans
TF	MYB
TF	GRF
TF	E2F-DP
TF	ARF
TF	AP2-EREBP
TF	bHLH
TF	Orphans
TF	bHLH
TF	ARR-B
TF	AP2-EREBP
TF	DBP
TF	MYB-related
TF	AP2-EREBP
TF	bHLH
TF	MADS
TF	AP2-EREBP
TF	WRKY
TF	Orphans
TF	WRKY
TF	AP2-EREBP
TF	Homeobox
TF	Homeobox
TF	NAC
TF	BBR/BPC
TF	GRAS
TF	Orphans
TF	MYB
TF	MYB-related
TF	GRAS
TF	NAC
TF	NAC
TF	NAC
TF	NAC
TF	C2C2-CO-like
TF	CCAAT-DR1
TF	C2C2-CO-like
TF	C3H
TF	NAC
TF	Homeobox
TF	HSF
TF	G2-like
TF	NAC
TF	bHLH
TF	CCAAT-DR1
TF	MADS
TF	AP2-EREBP
TF	HSF
TF	BZR
TF	MADS
TF	bHLH
TF	C2C2-GATA
TF	Rcd1-like
TF	bZIP
TF	Homeobox
TF	FAR1-like
TF	DBP
TF	MYB
TF	MYB
TF	MYB
TF	bZIP
TF	Homeobox
TF	AP2-EREBP
TF	MYB
TF	AP2-EREBP
TF	bZIP
TF	Rcd1-like
TF	bZIP
TF	ARID
TF	C3H
TF	bZIP
TF	Orphans
TF	ARR-B
TF	bHLH
TF	Orphans
TF	GRAS
TF	WRKY
TF	Orphans
TF	Orphans
TF	Orphans
TF	Orphans
TF	C2C2-CO-like
TF	AP2-EREBP
TF	C2C2-CO-like
TF	Orphans
TF	bZIP
TF	G2-like
TF	CCAAT-HAP5
TF	MYB-related
TF	G2-like
TF	bHLH
TF	TUB
TF	PLATZ
TF	Trihelix
TF	MYB-related
TF	AP2-EREBP
TF	Orphans
TF	C2C2-GATA
TF	GRAS
TF	MYB
TF	Orphans
TF	Orphans
TF	Orphans
TF	PLATZ
TF	GRAS
TF	WRKY
TF	AP2-EREBP
TF	OVATE
TF	MADS
TF	ABI3-VP1
TF	Orphans
TF	Orphans
TF	Orphans
TF	Orphans
TF	GeBP
TF	mTERF
TF	Orphans
TF	bZIP
TF	C3H
TF	NAC
TF	NAC
TF	Homeobox
TF	EIL
TF	WRKY
TF	MYB
TF	bZIP
TF	Trihelix
TF	bZIP
TF	MYB
TF	Orphans
TF	MYB-related
TF	Orphans
TF	MADS
TF	LBD
TF	Orphans
TF	Orphans
TF	GRAS
Coreg	Aux/IAA
Coreg	MED6
Coreg	PHD
Coreg	BSD
Coreg	Aux/IAA
Coreg	TRAF
Coreg	PHD
Coreg	SNF2
Coreg	PHD
Coreg	MBF1
Coreg	GNAT
Coreg	TRAF
Coreg	MED26
Coreg	MED26
Coreg	MED26
Coreg	SNF2
Coreg	JUMONJI
Coreg	PHD
TF	AP2-EREBP
TF	bHLH
TF	LBD
TF	MYB-related
TF	C2H2
TF	Homeobox
TF	bHLH
TF	AP2-EREBP
TF	HSF
TF	NAC
TF	ARR-B
TF	NAC
TF	MADS
TF	C2C2-YABBY
TF	Rcd1-like
TF	Orphans
TF	Orphans
TF	GRAS
TF	AP2-EREBP
TF	Homeobox
TF	bHLH
TF	ABI3-VP1
TF	ZIM
TF	ZIM
TF	ZIM
TF	AP2-EREBP
TF	AP2-EREBP
TF	bHLH
TF	Homeobox
TF	NAC
TF	Orphans
TF	Orphans
TF	Orphans
TF	MYB
TF	C2C2-GATA
TF	LBD
TF	E2F-DP
TF	Orphans
TF	G2-like
TF	bZIP
TF	Homeobox
TF	MADS
TF	bHLH
TF	NAC
TF	Homeobox
TF	GRAS
TF	Homeobox
TF	Trihelix
TF	NAC
TF	ABI3-VP1
TF	bHLH
TF	MADS
TF	Homeobox
TF	Homeobox
TF	OVATE
TF	NAC
TF	bZIP
TF	G2-like
TF	bHLH
TF	bHLH
TF	NLP
TF	NAC
TF	bHLH
TF	Orphans
TF	Orphans
TF	Orphans
TF	BZR
TF	Orphans
TF	MYB
TF	LBD
TF	LBD
TF	AP2-EREBP
TF	E2F-DP
TF	OVATE
TF	bHLH
TF	HSF
TF	Homeobox
TF	C2C2-Dof
TF	Homeobox
TF	bHLH
TF	bHLH
TF	AP2-EREBP
TF	CCAAT-HAP2
TF	AP2-EREBP
TF	ZIM
TF	ZIM
TF	ZIM
TF	AP2-EREBP
TF	AP2-EREBP
TF	AP2-EREBP
TF	AP2-EREBP
TF	ABI3-VP1
TF	MADS
TF	bHLH
TF	Homeobox
TF	CAMTA
TF	AP2-EREBP
TF	Orphans
TF	AP2-EREBP
TF	Orphans
TF	AP2-EREBP
TF	Orphans
TF	AP2-EREBP
TF	Orphans
TF	Homeobox
TF	OVATE
TF	NAC
TF	ABI3-VP1
TF	Homeobox
TF	C2C2-YABBY
TF	MADS
TF	ARR-B
TF	HSF
TF	bHLH
TF	Homeobox
TF	ZIM
TF	C2H2
TF	bZIP
TF	MYB-related
TF	LBD
TF	CCAAT-HAP5
TF	FAR1-like
TF	bHLH
TF	AP2-EREBP
TF	GRAS
TF	Orphans
TF	CSD
TF	Sigma70-like
TF	PLATZ
TF	GRAS
TF	Orphans
TF	C2C2-Dof
TF	LBD
TF	Orphans
TF	MYB
TF	C3H
TF	MYB-related
TF	MYB-related
TF	MYB
Coreg	LIM
Coreg	GNAT
Coreg	GNAT
Coreg	PHD
Coreg	JUMONJI
Coreg	GNAT
Coreg	FHA
Coreg	SWI/SNF-BAF60
Coreg	SNF2
Coreg	GNAT
Coreg	SWI/SNF-BAF60
Coreg	FHA
Coreg	Aux/IAA
Coreg	GNAT
Coreg	GNAT
Coreg	LIM
Coreg	LIM
TF	MYB
TF	MYB-related
TF	MYB-related
TF	bZIP
TF	AP2-EREBP
TF	MYB
TF	bZIP
TF	Homeobox
TF	G2-like
TF	EIL
TF	WRKY
TF	NAC
TF	NAC
TF	C3H
TF	G2-like
TF	bZIP
TF	OVATE
TF	Orphans
TF	TUB
TF	Orphans
TF	mTERF
TF	HSF
TF	GeBP
TF	MYB
TF	Orphans
TF	Orphans
TF	PLATZ
TF	ZIM
TF	GRAS
TF	CCAAT-HAP2
TF	LBD
TF	C2C2-Dof
TF	WRKY
TF	LBD
TF	GRAS
TF	AP2-EREBP
TF	bZIP
TF	OVATE
TF	Homeobox
TF	ABI3-VP1
TF	Orphans
TF	GRAS
TF	MYB-related
TF	AP2-EREBP
TF	C2C2-GATA
TF	Homeobox
